md5,url,cluster
8496f76c55ff9895d5482f79d43f5ba9,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/1/1593346005001671.mp4,3
d59e18ecd88183a44a8edfb57b0e3ece,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/738560195340839.mp4,1
ac0152e3b5f32b233a1bd4d05a685bb3,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/6/1261371045885946.mp4,2
cd738f2bcc760074b9021a5ce573fcd3,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/6/1166900702315446.mp4,1
b891ec35ce3b9e98d6c5ae3bce88895b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/1517975705921284.mp4,1
ff08b0b4d4e8af5b8a995c75b5f4f894,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/7/1189161132583407.mp4,1
c0823707fd35605c1ce9fe5912526bc7,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/0/2016940209153600.mp4,1
e159278bb03d11fb12f119c26bd1ed3b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/8/1338487635054988.mp4,1
d909e27a4fa5fb1b4d7ba53972640451,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/24874923492208436.mp4,1
3e537e616d44dcaeb2b4d3389413a136,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1195252975884203.mp4,1
d41d8cd98f00b204e9800998ecf8427e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/03/8/866231759711718.mp4,
739b85abef93e22aa061f9d0f3abe53b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/25163947523306903.mp4,1
fca7369f270e8e59763c363526f86063,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/9/813365371703039.mp4,1
a71b4fb80e31229236c3f17f96ba7b3b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/617433371429032.mp4,1
b358c222a3d8c4af3f73a61c970fe637,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/1/1528740951735321.mp4,2
a20f95fcc07c61b5bbde93350d0463d5,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/2/3182411865263512.mp4,2
ccde4132e129eb465b4ac182fa30f84a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/2000768167174270.mp4,1
713b090af9392407c116bd076bc8d8d7,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/9/907691915255659.mp4,2
d34e47497d2736b598af77f38e84b842,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/6/1179417847704966.mp4,1
4905be97b8e6225ad5cda63c0b5fa65d,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/5/2346100809146885.mp4,2
03f2f4af5240a8e41017207dec17f2c6,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/8/888876386899148.mp4,1
73fcb10f37fc8035bbd7dc7020c7010e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/2/744637551399072.mp4,1
6507d2c91add230de9d9d5c07ba77203,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/8/25377018238650298.mp4,1
1403266839a0448efb63ec3f561da8eb,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/3/1316487353565653.mp4,1
4a43117ca4738775ee77b834b8f3c95b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/8/2287545791714498.mp4,1
5d1aa4513fa25ee70ae7c71f1a84cf0d,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/7/1597991784789287.mp4,4
637e5851500a3b3bc14678828568f875,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/888092996987839.mp4,1
3753ed38e9ecf47f37b485c547b9eb8a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/7/1783636552330327.mp4,1
b891ecaef5ca45150b1c8d5fde3c5604,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/4/2081277579354124.mp4,1
3aa18de4ac4d8e7c5dd00c1dd3657e2b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/2760289527696181.mp4,1
1a06e282df8e1b106415918e0fd235fe,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/877418708205269.mp4,1
c30955bde9fe58d59f06fda50233cfc0,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/1253143250206276.mp4,1
d8ac729217e02be6c310110890d12c98,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/5/4247012358898575.mp4,1
34d83d2e7d2ad48553b9330b667382a3,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/833345016153809.mp4,1
2195a552bffacf25a6dd09adead3140b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/3/850194387929353.mp4,1
3fb8dbf659f144c0304b295409bd96d7,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/8/949546104908338.mp4,1
c8d09f5fccf6541a2e7e47b7619ae300,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/9/1567552471239759.mp4,2
d8d8e7dccb373a68f78c676cc8d5344c,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/25471861929099514.mp4,1
0319490fc70c6ff186ab764e3bec5a13,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/5/835267599131335.mp4,2
522f1c896e8452d4d483fa50287d379d,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/0/1388830282943740.mp4,1
6023420de4cc7aa8af2b313f7201a298,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/1172095007842159.mp4,1
4b629d17f634f8bbe55953071e1d2739,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/7/1334297165052417.mp4,2
